"Frequency", "Magnitude"
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
10.0, -5.600000
11.0, -5.600000
11.0, -5.600000
11.0, -5.600000
11.0, -5.600000
11.0, -5.600000
11.0, -5.600000
11.0, -5.600000
11.0, -5.600000
11.0, -5.600000
11.0, -5.600000
12.0, -5.600000
12.0, -5.600000
12.0, -5.600000
12.0, -5.600000
12.0, -5.600000
12.0, -5.600000
12.0, -5.600000
12.0, -5.600000
12.0, -5.600000
13.0, -5.600000
13.0, -5.600000
13.0, -5.600000
13.0, -5.600000
13.0, -5.600000
13.0, -5.600000
13.0, -5.600000
13.0, -5.600000
14.0, -5.600000
14.0, -5.600000
14.0, -5.600000
14.0, -5.600000
14.0, -5.600000
14.0, -5.600000
14.0, -5.600000
14.0, -5.600000
15.0, -5.600000
15.0, -5.600000
15.0, -5.600000
15.0, -5.600000
15.0, -5.600000
15.0, -5.600000
15.0, -5.600000
16.0, -5.600000
16.0, -5.600000
16.0, -5.600000
16.0, -5.600000
16.0, -5.600000
16.0, -5.600000
17.0, -5.600000
17.0, -5.600000
17.0, -5.600000
17.0, -5.600000
17.0, -5.600000
17.0, -5.600000
17.0, -5.600000
18.0, -5.600000
18.0, -5.600000
18.0, -5.600000
18.0, -5.600000
18.0, -5.600000
18.0, -5.600000
19.0, -5.600000
19.0, -5.600000
19.0, -5.600000
19.0, -5.600000
19.0, -5.600000
19.0, -5.600000
20.0, -5.600000
20.0, -5.600000
20.0, -5.600000
20.0, -5.600000
20.0, -5.600000
21.0, -5.600000
21.0, -5.600000
21.0, -5.600000
21.0, -5.600000
21.0, -5.600000
22.0, -5.600000
22.0, -5.600000
22.0, -5.600000
22.0, -5.600000
22.0, -5.600000
23.0, -5.600000
23.0, -5.600000
23.0, -5.600000
23.0, -5.600000
23.0, -5.600000
24.0, -5.600000
24.0, -5.600000
24.0, -5.600000
24.0, -5.600000
25.0, -5.600000
25.0, -5.600000
25.0, -5.600000
25.0, -5.600000
25.0, -5.600000
26.0, -5.600000
26.0, -5.600000
26.0, -5.600000
26.0, -5.600000
27.0, -5.600000
27.0, -5.600000
27.0, -5.600000
27.0, -5.600000
28.0, -5.600000
28.0, -5.600000
28.0, -5.600000
28.0, -5.600000
29.0, -5.600000
29.0, -5.600000
29.0, -5.600000
29.0, -5.600000
30.0, -5.600000
30.0, -5.600000
30.0, -5.600000
31.0, -5.600000
31.0, -5.600000
31.0, -5.600000
31.0, -5.600000
32.0, -5.600000
32.0, -5.600000
32.0, -5.600000
33.0, -5.600000
33.0, -5.600000
33.0, -5.600000
33.0, -5.600000
34.0, -5.600000
34.0, -5.600000
34.0, -5.600000
35.0, -5.600000
35.0, -5.600000
35.0, -5.600000
36.0, -5.600000
36.0, -5.600000
36.0, -5.600000
37.0, -5.600000
37.0, -5.600000
37.0, -5.600000
38.0, -5.600000
38.0, -5.600000
38.0, -5.600000
39.0, -5.600000
39.0, -5.600000
39.0, -5.600000
40.0, -5.600000
40.0, -5.600000
41.0, -5.600000
41.0, -5.600000
41.0, -5.600000
42.0, -5.600000
42.0, -5.600000
42.0, -5.600000
43.0, -5.600000
43.0, -5.600000
44.0, -5.600000
44.0, -5.600000
44.0, -5.600000
45.0, -5.600000
45.0, -5.600000
46.0, -5.600000
46.0, -5.600000
46.0, -5.600000
47.0, -5.600000
47.0, -5.600000
48.0, -5.600000
48.0, -5.600000
49.0, -5.600000
49.0, -5.600000
50.0, -5.600000
50.0, -5.600000
50.0, -5.600000
51.0, -5.600000
51.0, -5.600000
52.0, -5.600000
52.0, -5.600000
53.0, -5.600000
53.0, -5.600000
54.0, -5.600000
54.0, -5.600000
55.0, -5.600000
55.0, -5.600000
56.0, -5.600000
56.0, -5.600000
57.0, -5.600000
57.0, -5.600000
58.0, -5.600000
58.0, -5.600000
59.0, -5.600000
59.0, -5.600000
60.0, -5.600000
60.0, -5.600000
61.0, -5.600000
62.0, -5.600000
62.0, -5.600000
63.0, -5.600000
63.0, -5.600000
64.0, -5.600000
64.0, -5.600000
65.0, -5.600000
66.0, -5.600000
66.0, -5.600000
67.0, -5.600000
67.0, -5.600000
68.0, -5.600000
69.0, -5.600000
69.0, -5.600000
70.0, -5.600000
71.0, -5.600000
71.0, -5.600000
72.0, -5.600000
72.0, -5.600000
73.0, -5.600000
74.0, -5.600000
74.0, -5.600000
75.0, -5.600000
76.0, -5.600000
77.0, -5.600000
77.0, -5.600000
78.0, -5.600000
79.0, -5.600000
79.0, -5.600000
80.0, -5.600000
81.0, -5.600000
82.0, -5.600000
82.0, -5.600000
83.0, -5.600000
84.0, -5.600000
85.0, -5.600000
85.0, -5.600000
86.0, -5.600000
87.0, -5.600000
88.0, -5.600000
88.0, -5.600000
89.0, -5.600000
90.0, -5.600000
91.0, -5.600000
92.0, -5.600000
93.0, -5.600000
93.0, -5.600000
94.0, -5.600000
95.0, -5.600000
96.0, -5.600000
97.0, -5.600000
98.0, -5.600000
99.0, -5.600000
100.0, -5.600000
100.0, -5.600000
101.0, -5.600000
102.0, -5.600000
103.0, -5.600000
104.0, -5.600000
105.0, -5.600000
106.0, -5.600000
107.0, -5.600000
108.0, -5.600000
109.0, -5.600000
110.0, -5.600000
111.0, -5.600000
112.0, -5.600000
113.0, -5.600000
114.0, -5.600000
115.0, -5.600000
116.0, -5.600000
117.0, -5.600000
118.0, -5.600000
119.0, -5.600000
120.0, -5.600000
121.0, -5.600000
122.0, -5.600000
124.0, -5.600000
125.0, -5.600000
126.0, -5.600000
127.0, -5.600000
128.0, -5.600000
129.0, -5.600000
130.0, -5.600000
132.0, -5.600000
133.0, -5.600000
134.0, -5.600000
135.0, -5.600000
136.0, -5.600000
138.0, -5.600000
139.0, -5.600000
140.0, -5.600000
142.0, -5.600000
143.0, -5.600000
144.0, -5.600000
145.0, -5.600000
147.0, -5.600000
148.0, -5.600000
149.0, -5.600000
151.0, -5.600000
152.0, -5.600000
153.0, -5.600000
155.0, -5.600000
156.0, -5.600000
158.0, -5.600000
159.0, -5.600000
161.0, -5.600000
162.0, -5.600000
163.0, -5.600000
165.0, -5.600000
166.0, -5.600000
168.0, -5.600000
170.0, -5.600000
171.0, -5.600000
173.0, -5.600000
174.0, -5.600000
176.0, -5.600000
177.0, -5.600000
179.0, -5.600000
181.0, -5.600000
182.0, -5.600000
184.0, -5.600000
186.0, -5.600000
187.0, -5.600000
189.0, -5.600000
191.0, -5.600000
192.0, -5.600000
194.0, -5.600000
196.0, -5.600000
198.0, -5.600000
199.0, -5.600000
201.0, -5.600000
203.0, -5.600000
205.0, -5.600000
207.0, -5.600000
209.0, -5.600000
210.0, -5.600000
212.0, -5.600000
214.0, -5.600000
216.0, -5.600000
218.0, -5.600000
220.0, -5.600000
222.0, -5.600000
224.0, -5.600000
226.0, -5.600000
228.0, -5.600000
230.0, -5.600000
232.0, -5.600000
235.0, -5.600000
237.0, -5.600000
239.0, -5.600000
241.0, -5.600000
243.0, -5.600000
245.0, -5.600000
248.0, -5.600000
250.0, -5.600000
252.0, -5.600000
254.0, -5.600000
257.0, -5.600000
259.0, -5.600000
261.0, -5.600000
264.0, -5.600000
266.0, -5.600000
268.0, -5.600000
271.0, -5.600000
273.0, -5.600000
276.0, -5.600000
278.0, -5.600000
281.0, -5.600000
283.0, -5.600000
286.0, -5.600000
289.0, -5.600000
291.0, -5.600000
294.0, -5.600000
296.0, -5.600000
299.0, -5.600000
302.0, -5.600000
305.0, -5.600000
307.0, -5.600000
310.0, -5.600000
313.0, -5.600000
316.0, -5.600000
319.0, -5.600000
321.0, -5.600000
324.0, -5.600000
327.0, -5.600000
330.0, -5.600000
333.0, -5.600000
336.0, -5.600000
339.0, -5.600000
342.0, -5.600000
345.0, -5.600000
349.0, -5.600000
352.0, -5.600000
355.0, -5.600000
358.0, -5.600000
361.0, -5.600000
365.0, -5.600000
368.0, -5.600000
371.0, -5.600000
375.0, -5.600000
378.0, -5.600000
381.0, -5.600000
385.0, -5.600000
388.0, -5.600000
392.0, -5.600000
395.0, -5.600000
399.0, -5.600000
403.0, -5.600000
406.0, -5.600000
410.0, -5.600000
414.0, -5.600000
417.0, -5.600000
421.0, -5.600000
425.0, -5.600000
429.0, -5.600000
433.0, -5.600000
437.0, -5.600000
441.0, -5.600000
445.0, -5.600000
449.0, -5.600000
453.0, -5.600000
457.0, -5.600000
461.0, -5.600000
465.0, -5.600000
469.0, -5.600000
474.0, -5.600000
478.0, -5.600000
482.0, -5.600000
486.0, -5.600000
491.0, -5.600000
495.0, -5.600000
500.0, -5.600000
504.0, -5.600000
509.0, -5.600000
513.0, -5.600000
518.0, -5.600000
523.0, -5.600000
528.0, -5.600000
532.0, -5.600000
537.0, -5.600000
542.0, -5.600000
547.0, -5.600000
552.0, -5.600000
557.0, -5.600000
562.0, -5.600000
567.0, -5.600000
572.0, -5.600000
577.0, -5.600000
582.0, -5.600000
588.0, -5.600000
593.0, -5.600000
598.0, -5.600000
604.0, -5.600000
609.0, -5.600000
615.0, -5.600000
620.0, -5.600000
626.0, -5.600000
632.0, -5.600000
637.0, -5.600000
643.0, -5.600000
649.0, -5.600000
655.0, -5.600000
661.0, -5.600000
667.0, -5.600000
673.0, -5.600000
679.0, -5.600000
685.0, -5.600000
691.0, -5.600000
697.0, -5.600000
704.0, -5.600000
710.0, -5.600000
716.0, -5.600000
723.0, -5.600000
729.0, -5.600000
736.0, -5.600000
743.0, -5.600000
749.0, -5.600000
756.0, -5.600000
763.0, -5.600000
770.0, -5.600000
777.0, -5.600000
784.0, -5.600000
791.0, -5.600000
798.0, -5.600000
805.0, -5.600000
813.0, -5.600000
820.0, -5.600000
827.0, -5.600000
835.0, -5.600000
842.0, -5.600000
850.0, -5.600000
858.0, -5.600000
865.0, -5.600000
873.0, -5.600000
881.0, -5.600000
889.0, -5.600000
897.0, -5.600000
905.0, -5.600000
913.0, -5.600000
922.0, -5.600000
930.0, -5.600000
938.0, -5.600000
947.0, -5.600000
956.0, -5.600000
964.0, -5.600000
973.0, -5.600000
982.0, -5.600000
991.0, -5.600000
1000.0, -5.600000
1009.0, -5.600000
1018.0, -5.600000
1027.0, -5.600000
1036.0, -5.600000
1045.0, -5.600000
1055.0, -5.600000
1064.0, -5.600000
1074.0, -5.600000
1084.0, -5.600000
1094.0, -5.600000
1103.0, -5.600000
1113.0, -5.600000
1124.0, -5.600000
1134.0, -5.600000
1144.0, -5.600000
1154.0, -5.600000
1165.0, -5.600000
1175.0, -5.600000
1186.0, -5.600000
1197.0, -5.600000
1207.0, -5.600000
1218.0, -5.600000
1229.0, -5.600000
1240.0, -5.600000
1252.0, -5.600000
1263.0, -5.600000
1274.0, -5.600000
1286.0, -5.600000
1298.0, -5.600000
1309.0, -5.600000
1321.0, -5.600000
1333.0, -5.600000
1345.0, -5.600000
1357.0, -5.600000
1369.0, -5.600000
1382.0, -5.600000
1394.0, -5.600000
1407.0, -5.600000
1420.0, -5.600000
1433.0, -5.600000
1445.0, -5.600000
