"Frequency", "Magnitude"
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
10.0, 0.195668
11.0, 0.192834
11.0, 0.192834
11.0, 0.192834
11.0, 0.192834
11.0, 0.192834
11.0, 0.192834
11.0, 0.192834
11.0, 0.192834
11.0, 0.192834
11.0, 0.192834
12.0, 0.188969
12.0, 0.188969
12.0, 0.188969
12.0, 0.188969
12.0, 0.188969
12.0, 0.188969
12.0, 0.188969
12.0, 0.188969
12.0, 0.188969
13.0, 0.183868
13.0, 0.183868
13.0, 0.183868
13.0, 0.183868
13.0, 0.183868
13.0, 0.183868
13.0, 0.183868
13.0, 0.183868
14.0, 0.177311
14.0, 0.177311
14.0, 0.177311
14.0, 0.177311
14.0, 0.177311
14.0, 0.177311
14.0, 0.177311
14.0, 0.177311
15.0, 0.169064
15.0, 0.169064
15.0, 0.169064
15.0, 0.169064
15.0, 0.169064
15.0, 0.169064
15.0, 0.169064
16.0, 0.158877
16.0, 0.158877
16.0, 0.158877
16.0, 0.158877
16.0, 0.158877
16.0, 0.158877
17.0, 0.146493
17.0, 0.146493
17.0, 0.146493
17.0, 0.146493
17.0, 0.146493
17.0, 0.146493
17.0, 0.146493
18.0, 0.131640
18.0, 0.131640
18.0, 0.131640
18.0, 0.131640
18.0, 0.131640
18.0, 0.131640
19.0, 0.114040
19.0, 0.114040
19.0, 0.114040
19.0, 0.114040
19.0, 0.114040
19.0, 0.114040
20.0, 0.093409
20.0, 0.093409
20.0, 0.093409
20.0, 0.093409
20.0, 0.093409
21.0, 0.069459
21.0, 0.069459
21.0, 0.069459
21.0, 0.069459
21.0, 0.069459
22.0, 0.041903
22.0, 0.041903
22.0, 0.041903
22.0, 0.041903
22.0, 0.041903
23.0, 0.010455
23.0, 0.010455
23.0, 0.010455
23.0, 0.010455
23.0, 0.010455
24.0, -0.025163
24.0, -0.025163
24.0, -0.025163
24.0, -0.025163
25.0, -0.065221
25.0, -0.065221
25.0, -0.065221
25.0, -0.065221
25.0, -0.065221
26.0, -0.109973
26.0, -0.109973
26.0, -0.109973
26.0, -0.109973
27.0, -0.159657
27.0, -0.159657
27.0, -0.159657
27.0, -0.159657
28.0, -0.214490
28.0, -0.214490
28.0, -0.214490
28.0, -0.214490
29.0, -0.274663
29.0, -0.274663
29.0, -0.274663
29.0, -0.274663
30.0, -0.340338
30.0, -0.340338
30.0, -0.340338
31.0, -0.411647
31.0, -0.411647
31.0, -0.411647
31.0, -0.411647
32.0, -0.488685
32.0, -0.488685
32.0, -0.488685
33.0, -0.571513
33.0, -0.571513
33.0, -0.571513
33.0, -0.571513
34.0, -0.660149
34.0, -0.660149
34.0, -0.660149
35.0, -0.754575
35.0, -0.754575
35.0, -0.754575
36.0, -0.854730
36.0, -0.854730
36.0, -0.854730
37.0, -0.960515
37.0, -0.960515
37.0, -0.960515
38.0, -1.071788
38.0, -1.071788
38.0, -1.071788
39.0, -1.188373
39.0, -1.188373
39.0, -1.188373
40.0, -1.310053
40.0, -1.310053
41.0, -1.436580
41.0, -1.436580
41.0, -1.436580
42.0, -1.567674
42.0, -1.567674
42.0, -1.567674
43.0, -1.703028
43.0, -1.703028
44.0, -1.842307
44.0, -1.842307
44.0, -1.842307
45.0, -1.985158
45.0, -1.985158
46.0, -2.131208
46.0, -2.131208
46.0, -2.131208
47.0, -2.280067
47.0, -2.280067
48.0, -2.431337
48.0, -2.431337
49.0, -2.584609
49.0, -2.584609
50.0, -2.739465
50.0, -2.739465
50.0, -2.739465
51.0, -2.895488
51.0, -2.895488
52.0, -3.052255
52.0, -3.052255
53.0, -3.209343
53.0, -3.209343
54.0, -3.366332
54.0, -3.366332
55.0, -3.522806
55.0, -3.522806
56.0, -3.678350
56.0, -3.678350
57.0, -3.832558
57.0, -3.832558
58.0, -3.985034
58.0, -3.985034
59.0, -4.135391
59.0, -4.135391
60.0, -4.283258
60.0, -4.283258
61.0, -4.428284
62.0, -4.570147
62.0, -4.570147
63.0, -4.708558
63.0, -4.708558
64.0, -4.843276
64.0, -4.843276
65.0, -4.974122
66.0, -5.100995
66.0, -5.100995
67.0, -5.223891
67.0, -5.223891
68.0, -5.342926
69.0, -5.458358
69.0, -5.458358
70.0, -5.570605
71.0, -5.680261
71.0, -5.680261
72.0, -5.788094
72.0, -5.788094
73.0, -5.895036
74.0, -6.002143
74.0, -6.002143
75.0, -6.110543
76.0, -6.221356
77.0, -6.335600
77.0, -6.335600
78.0, -6.454098
79.0, -6.577400
79.0, -6.577400
80.0, -6.705726
81.0, -6.838951
82.0, -6.976625
82.0, -6.976625
83.0, -7.118034
84.0, -7.262273
85.0, -7.408334
85.0, -7.408334
86.0, -7.555185
87.0, -7.701840
88.0, -7.847406
88.0, -7.847406
89.0, -7.991109
90.0, -8.132311
91.0, -8.270507
92.0, -8.405317
93.0, -8.536471
93.0, -8.536471
94.0, -8.663790
95.0, -8.787178
96.0, -8.906595
97.0, -9.022053
98.0, -9.133598
99.0, -9.241306
100.0, -9.345268
100.0, -9.345268
101.0, -9.445591
102.0, -9.542387
103.0, -9.635777
104.0, -9.725879
105.0, -9.812814
106.0, -9.896698
107.0, -9.977649
108.0, -10.055776
109.0, -10.131190
110.0, -10.203992
111.0, -10.274285
112.0, -10.342162
113.0, -10.407717
114.0, -10.471036
115.0, -10.532203
116.0, -10.591299
117.0, -10.648401
118.0, -10.703581
119.0, -10.756910
120.0, -10.808455
121.0, -10.858279
122.0, -10.906446
124.0, -10.998037
125.0, -11.041573
126.0, -11.083671
127.0, -11.124384
128.0, -11.163757
129.0, -11.201837
130.0, -11.238669
132.0, -11.308757
133.0, -11.342092
134.0, -11.374339
135.0, -11.405535
136.0, -11.435715
138.0, -11.493160
139.0, -11.520488
140.0, -11.546928
142.0, -11.597258
143.0, -11.621202
144.0, -11.644369
145.0, -11.666782
147.0, -11.709444
148.0, -11.729739
149.0, -11.749373
151.0, -11.786738
152.0, -11.804510
153.0, -11.821700
155.0, -11.854404
156.0, -11.869954
158.0, -11.899529
159.0, -11.913586
161.0, -11.940310
162.0, -11.953005
163.0, -11.965273
165.0, -11.988581
166.0, -11.999644
168.0, -12.020646
170.0, -12.040221
171.0, -12.049499
173.0, -12.067085
174.0, -12.075411
176.0, -12.091172
177.0, -12.098624
179.0, -12.112710
181.0, -12.125754
